condition,task,run,model,timestamp,success,input_tokens,input_tokens_cached,output_tokens,reasoning_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
actionbook,wikipedia_deep_extraction,2,claude-sonnet-4-6,2026-04-11T11:36:23.861Z,true,52796,45026,503,0,0.050187300000000004,17.031,3,2,0
actionbook,wikipedia_deep_extraction,3,claude-sonnet-4-6,2026-04-11T11:36:50.646Z,true,51646,45029,510,0,0.045969449999999995,15.923,3,2,0
actionbook,wikipedia_deep_extraction,4,claude-sonnet-4-6,2026-04-11T11:37:19.463Z,true,51664,45029,505,0,0.04596195,16.208,3,2,0
actionbook,wikipedia_deep_extraction,5,claude-sonnet-4-6,2026-04-11T11:37:46.937Z,true,52875,45029,506,0,0.0505182,16.168,3,2,0
actionbook,github_repo_stars,1,claude-sonnet-4-6,2026-04-11T11:38:20.188Z,true,86232,79297,632,0,0.05927085,22.475,5,4,0
actionbook,github_repo_stars,2,claude-sonnet-4-6,2026-04-11T11:38:59.285Z,true,123718,116066,779,0,0.0751938,28.6,7,6,0
actionbook,github_repo_stars,3,claude-sonnet-4-6,2026-04-11T11:39:30.156Z,true,85955,79503,514,0,0.0557514,19.605,5,4,0
actionbook,github_repo_stars,4,claude-sonnet-4-6,2026-04-11T11:40:01.385Z,true,86142,79464,555,0,0.057202199999999995,19.48,5,4,0
actionbook,github_repo_stars,5,claude-sonnet-4-6,2026-04-11T11:40:32.013Z,true,68603,62181,494,0,0.05014305000000001,18.998,4,3,0
actionbook,navigate_404,1,claude-sonnet-4-6,2026-04-11T11:41:10.282Z,true,52000,44887,412,0,0.04631684999999999,26.667,3,2,1
actionbook,navigate_404,2,claude-sonnet-4-6,2026-04-11T11:41:39.686Z,true,52072,44912,459,0,0.0472056,18.026,3,2,1
actionbook,navigate_404,3,claude-sonnet-4-6,2026-04-11T11:42:10.513Z,true,69314,61932,448,0,0.05297835,18.807,4,3,1
actionbook,navigate_404,4,claude-sonnet-4-6,2026-04-11T11:42:47.960Z,true,69313,61871,462,0,0.05339505,25.722,4,3,1
actionbook,navigate_404,5,claude-sonnet-4-6,2026-04-11T11:43:13.704Z,true,52011,44619,400,0,0.0471027,15.284,3,2,1
actionbook,tabular_data_analysis,1,claude-sonnet-4-6,2026-04-11T11:43:45.207Z,true,69904,62108,622,0,0.057193650000000006,21.056,4,3,0
actionbook,tabular_data_analysis,2,claude-sonnet-4-6,2026-04-11T11:44:14.768Z,true,55930,44984,573,0,0.0631347,18.512,3,2,0
actionbook,tabular_data_analysis,3,claude-sonnet-4-6,2026-04-11T11:44:45.665Z,true,55915,44983,560,0,0.0628869,19.406,3,2,0
actionbook,tabular_data_analysis,4,claude-sonnet-4-6,2026-04-11T11:45:22.428Z,true,76788,65930,712,0,0.07117275,24.848,4,3,0
actionbook,tabular_data_analysis,5,claude-sonnet-4-6,2026-04-11T11:45:55.969Z,true,87919,80721,735,0,0.0622293,22.445,5,4,0
actionbook,multi_page_comparison,1,claude-sonnet-4-6,2026-04-11T11:46:29.143Z,true,103638,96580,549,0,0.06367125,22.476,6,5,0
actionbook,multi_page_comparison,2,claude-sonnet-4-6,2026-04-11T11:47:06.144Z,true,87166,79960,589,0,0.05984099999999999,26.389,5,4,0
actionbook,multi_page_comparison,3,claude-sonnet-4-6,2026-04-11T11:47:37.255Z,true,86019,79115,484,0,0.05688,21.316,5,4,0
actionbook,multi_page_comparison,4,claude-sonnet-4-6,2026-04-11T11:48:08.433Z,true,87277,79309,573,0,0.062263200000000005,20.183,5,4,0
actionbook,multi_page_comparison,5,claude-sonnet-4-6,2026-04-11T11:48:39.677Z,true,89589,80844,515,0,0.06476745,20.688,5,4,0
actionbook,github_issue_investigation,1,claude-sonnet-4-6,2026-04-11T11:49:11.146Z,true,51737,44959,466,0,0.045892199999999994,20.593,3,2,0
